iter	Passed	Remaining
0	15	15855
1	30	15044
2	43	14553
3	53	13265
4	66	13320
5	74	12355
6	85	12192
7	97	12115
8	103	11440
9	111	11035
10	123	11077
11	129	10672
12	135	10315
13	147	10383
14	155	10222
15	167	10298
16	179	10384
17	190	10411
18	202	10455
19	213	10477
20	225	10503
21	236	10520
22	248	10541
23	259	10565
24	271	10571
25	282	10582
26	287	10357
27	296	10292
28	307	10308
29	319	10330
30	328	10264
31	334	10119
32	346	10138
33	352	10008
34	361	9960
35	372	9981
36	384	10011
37	393	9958
38	404	9976
39	412	9898
40	423	9906
41	430	9829
42	442	9845
43	451	9812
44	463	9833
45	469	9742
46	476	9653
47	487	9676
48	494	9589
49	502	9541
50	513	9559
51	524	9568
52	533	9539
53	542	9508
54	550	9456
55	561	9467
56	569	9425
57	575	9353
58	587	9367
59	593	9291
60	604	9310
61	612	9264
62	620	9225
63	626	9161
64	633	9119
65	645	9131
66	656	9145
67	665	9125
68	675	9115
69	686	9126
70	691	9046
71	699	9010
72	710	9025
73	718	8989
74	729	8998
75	737	8964
76	748	8976
77	761	8996
78	772	9009
79	779	8958
80	786	8927
81	798	8939
82	810	8951
83	817	8917
84	829	8927
85	840	8937
86	852	8946
87	864	8954
88	876	8967
89	887	8978
90	898	8974
91	910	8988
92	923	9004
93	936	9021
94	949	9041
95	962	9059
96	970	9033
97	983	9052
98	994	9047
99	1007	9063
100	1020	9085
101	1033	9102
102	1046	9112
103	1056	9105
104	1068	9111
105	1081	9120
106	1094	9131
107	1104	9124
108	1117	9134
109	1128	9134
110	1140	9136
111	1152	9139
112	1163	9133
113	1171	9102
114	1182	9102
115	1192	9090
116	1204	9089
117	1215	9087
118	1227	9086
119	1236	9064
120	1244	9041
121	1256	9039
122	1267	9036
123	1278	9035
124	1288	9018
125	1299	9016
126	1307	8986
127	1315	8960
128	1326	8959
129	1335	8940
130	1347	8938
131	1359	8937
132	1370	8931
133	1382	8932
134	1389	8904
135	1401	8902
136	1410	8884
137	1422	8883
138	1434	8888
139	1446	8883
140	1458	8884
141	1466	8858
142	1477	8856
143	1489	8856
144	1502	8857
145	1512	8849
146	1520	8824
147	1532	8822
148	1544	8822
149	1556	8821
150	1568	8819
151	1574	8786
152	1582	8762
153	1594	8757
154	1606	8756
155	1617	8752
156	1627	8739
157	1635	8715
158	1647	8711
159	1658	8708
160	1670	8704
161	1681	8699
162	1693	8696
163	1705	8693
164	1712	8668
165	1723	8658
166	1733	8648
167	1745	8644
168	1753	8621
169	1765	8617
170	1777	8614
171	1788	8610
172	1800	8607
173	1812	8602
174	1823	8598
175	1831	8574
176	1843	8569
177	1854	8564
178	1860	8535
179	1873	8532
180	1885	8531
181	1896	8522
182	1907	8517
183	1914	8489
184	1926	8487
185	1937	8478
186	1945	8456
187	1954	8442
188	1965	8436
189	1978	8433
190	1985	8411
191	1998	8408
192	2010	8406
193	2023	8407
194	2034	8397
195	2047	8398
196	2060	8399
197	2073	8398
198	2085	8392
199	2097	8388
200	2110	8389
201	2123	8388
202	2132	8373
203	2144	8368
